delivery_date,block_start,block_hour,clearing_price_eur_mw_week,demand_mw,surplus_mw
2025-01-17,2025-01-17 16:00:00,16,72.52,528,-28
2025-01-17,2025-01-17 20:00:00,20,16.7,528,72
2025-01-18,2025-01-18 00:00:00,0,15.91,528,124
2025-01-18,2025-01-18 04:00:00,4,28.8,528,59
2025-01-18,2025-01-18 08:00:00,8,33.7,528,36
2025-01-18,2025-01-18 12:00:00,12,36.12,528,39
2025-01-18,2025-01-18 16:00:00,16,34.9,528,33
2025-01-18,2025-01-18 20:00:00,20,19.0,528,65
2025-01-19,2025-01-19 00:00:00,0,14.78,528,110
2025-01-19,2025-01-19 04:00:00,4,19.2,528,66
2025-01-19,2025-01-19 08:00:00,8,26.45,528,40
2025-01-19,2025-01-19 12:00:00,12,26.68,528,98
2025-01-19,2025-01-19 16:00:00,16,31.95,528,30
2025-01-19,2025-01-19 20:00:00,20,15.27,528,70
2025-01-20,2025-01-20 00:00:00,0,20.64,528,134
2025-01-20,2025-01-20 04:00:00,4,47.88,528,51
2025-01-20,2025-01-20 08:00:00,8,46.5,528,57
2025-01-20,2025-01-20 12:00:00,12,40.0,528,62
2025-01-20,2025-01-20 16:00:00,16,58.67,528,4
2025-01-20,2025-01-20 20:00:00,20,17.2,528,79
2025-01-21,2025-01-21 00:00:00,0,16.25,528,79
2025-01-21,2025-01-21 04:00:00,4,55.2,528,20
2025-01-21,2025-01-21 08:00:00,8,73.76,528,-11
2025-01-21,2025-01-21 12:00:00,12,47.89,528,19
2025-01-21,2025-01-21 16:00:00,16,148.54,528,-73
2025-01-21,2025-01-21 20:00:00,20,36.75,528,68
2025-01-22,2025-01-22 00:00:00,0,17.2,528,129
2025-01-22,2025-01-22 04:00:00,4,62.43,528,-24
2025-01-22,2025-01-22 08:00:00,8,60.0,528,-18
2025-01-22,2025-01-22 12:00:00,12,42.5,528,3
2025-01-22,2025-01-22 16:00:00,16,108.2,528,-93
2025-01-22,2025-01-22 20:00:00,20,32.0,528,64
2025-01-23,2025-01-23 00:00:00,0,16.65,528,135
2025-01-23,2025-01-23 04:00:00,4,57.92,528,38
2025-01-23,2025-01-23 08:00:00,8,37.42,528,20
2025-01-23,2025-01-23 12:00:00,12,42.0,528,86
2025-01-23,2025-01-23 16:00:00,16,40.3,528,-26
2025-01-23,2025-01-23 20:00:00,20,33.63,528,183
2025-01-24,2025-01-24 00:00:00,0,24.19,528,100
2025-01-24,2025-01-24 04:00:00,4,50.39,528,22
2025-01-24,2025-01-24 08:00:00,8,52.0,528,-2
2025-01-24,2025-01-24 12:00:00,12,40.73,528,82
2025-01-24,2025-01-24 16:00:00,16,50.01,528,-47
2025-01-24,2025-01-24 20:00:00,20,31.2,528,128
2025-01-25,2025-01-25 00:00:00,0,34.3,528,53
2025-01-25,2025-01-25 04:00:00,4,28.3,528,72
2025-01-25,2025-01-25 08:00:00,8,36.0,528,63
2025-01-25,2025-01-25 12:00:00,12,28.9,528,60
2025-01-25,2025-01-25 16:00:00,16,34.08,528,26
2025-01-25,2025-01-25 20:00:00,20,19.9,528,67
2025-01-26,2025-01-26 00:00:00,0,19.6,528,80
2025-01-26,2025-01-26 04:00:00,4,21.09,528,127
2025-01-26,2025-01-26 08:00:00,8,23.4,528,71
2025-01-26,2025-01-26 12:00:00,12,19.5,528,64
2025-01-26,2025-01-26 16:00:00,16,36.3,528,33
2025-01-26,2025-01-26 20:00:00,20,25.8,528,67
2025-01-27,2025-01-27 00:00:00,0,50.8,528,-9
2025-01-27,2025-01-27 04:00:00,4,55.2,528,16
2025-01-27,2025-01-27 08:00:00,8,38.9,528,60
2025-01-27,2025-01-27 12:00:00,12,40.0,528,30
2025-01-27,2025-01-27 16:00:00,16,40.0,528,-21
2025-01-27,2025-01-27 20:00:00,20,31.81,528,53
2025-01-28,2025-01-28 00:00:00,0,67.75,528,-15
2025-01-28,2025-01-28 04:00:00,4,56.4,528,21
2025-01-28,2025-01-28 08:00:00,8,48.19,528,123
2025-01-28,2025-01-28 12:00:00,12,45.1,528,95
2025-01-28,2025-01-28 16:00:00,16,54.0,528,-12
2025-01-28,2025-01-28 20:00:00,20,32.34,528,125
2025-01-29,2025-01-29 00:00:00,0,56.4,528,-5
2025-01-29,2025-01-29 04:00:00,4,55.6,528,67
2025-01-29,2025-01-29 08:00:00,8,40.2,528,46
2025-01-29,2025-01-29 12:00:00,12,45.6,528,190
2025-01-29,2025-01-29 16:00:00,16,50.1,528,-53
2025-01-29,2025-01-29 20:00:00,20,32.0,528,94
2025-01-30,2025-01-30 00:00:00,0,35.0,528,182
2025-01-30,2025-01-30 04:00:00,4,80.96,528,52
2025-01-30,2025-01-30 08:00:00,8,42.7,528,18
2025-01-30,2025-01-30 12:00:00,12,38.39,528,44
2025-01-30,2025-01-30 16:00:00,16,53.39,528,0
2025-01-30,2025-01-30 20:00:00,20,25.7,528,111
2025-01-31,2025-01-31 00:00:00,0,40.0,528,159
2025-01-31,2025-01-31 04:00:00,4,74.8,528,97
2025-01-31,2025-01-31 08:00:00,8,28.14,528,46
2025-01-31,2025-01-31 12:00:00,12,39.52,528,61
2025-01-31,2025-01-31 16:00:00,16,39.15,528,-13
2025-01-31,2025-01-31 20:00:00,20,19.4,528,91
2025-02-01,2025-02-01 00:00:00,0,23.6,528,149
2025-02-01,2025-02-01 04:00:00,4,33.11,528,189
2025-02-01,2025-02-01 08:00:00,8,37.5,528,103
2025-02-01,2025-02-01 12:00:00,12,32.08,528,157
2025-02-01,2025-02-01 16:00:00,16,30.79,528,27
2025-02-01,2025-02-01 20:00:00,20,18.0,528,75
2025-02-02,2025-02-02 00:00:00,0,18.5,528,128
2025-02-02,2025-02-02 04:00:00,4,24.3,528,131
2025-02-02,2025-02-02 08:00:00,8,27.0,528,146
2025-02-02,2025-02-02 12:00:00,12,33.0,528,189
2025-02-02,2025-02-02 16:00:00,16,33.9,528,66
2025-02-02,2025-02-02 20:00:00,20,17.3,528,90
2025-02-03,2025-02-03 00:00:00,0,22.45,528,145
2025-02-03,2025-02-03 04:00:00,4,50.0,528,40
2025-02-03,2025-02-03 08:00:00,8,50.92,528,22
2025-02-03,2025-02-03 12:00:00,12,41.36,528,81
2025-02-03,2025-02-03 16:00:00,16,61.79,528,-3
